ColorWord,FontColor,.thisRepN,.thisTrialN,.thisN,.thisIndex,Block,Instruction,CorAns,
red,yellow,4,7,71,12,8,atypical,d,
green,blue,4,8,72,6,8,atypical,j,
red,red,4,9,73,0,8,atypical,d,
blue,yellow,4,10,74,13,8,atypical,f,
yellow,green,4,11,75,11,8,atypical,k,
yellow,blue,4,12,76,7,8,atypical,k,
yellow,yellow,4,13,77,15,8,atypical,k,
red,green,4,14,78,8,8,atypical,d,
blue,red,4,15,79,1,8,atypical,f,
red,green,0,0,0,8,9,typical,j,
yellow,yellow,0,1,1,15,9,typical,k,
yellow,blue,0,2,2,7,9,typical,f,
green,green,0,3,3,10,9,typical,j,
red,green,0,4,4,8,9,typical,j,
yellow,green,0,5,5,11,9,typical,j,
red,blue,0,6,6,4,9,typical,f,
blue,green,0,7,7,9,9,typical,j,
blue,yellow,0,8,8,13,9,typical,k,
red,blue,0,9,9,4,9,typical,f,
green,blue,0,10,10,6,9,typical,f,
red,red,0,11,11,0,9,typical,d,
green,green,0,12,12,10,9,typical,j,
yellow,red,0,13,13,3,9,typical,d,
yellow,green,0,14,14,11,9,typical,j,
blue,green,0,15,15,9,9,typical,j,
red,yellow,1,0,16,12,9,typical,k,
blue,red,1,1,17,1,9,typical,d,
blue,red,1,2,18,1,9,typical,d,
green,yellow,1,3,19,14,9,typical,k,
red,green,1,4,20,8,9,typical,j,
green,red,1,5,21,2,9,typical,d,
green,blue,1,6,22,6,9,typical,f,
blue,blue,1,7,23,5,9,typical,f,
red,yellow,1,8,24,12,9,typical,k,
red,red,1,9,25,0,9,typical,d,
green,red,1,10,26,2,9,typical,d,
yellow,red,1,11,27,3,9,typical,d,
red,red,1,12,28,0,9,typical,d,
red,blue,1,13,29,4,9,typical,f,
blue,yellow,1,14,30,13,9,typical,k,
yellow,yellow,1,15,31,15,9,typical,k,
yellow,blue,2,0,32,7,9,typical,f,
green,yellow,2,1,33,14,9,typical,k,
red,red,2,2,34,0,9,typical,d,
green,red,2,3,35,2,9,typical,d,
blue,red,2,4,36,1,9,typical,d,
yellow,red,2,5,37,3,9,typical,d,
green,red,2,6,38,2,9,typical,d,
green,yellow,2,7,39,14,9,typical,k,
blue,green,2,8,40,9,9,typical,j,
green,blue,2,9,41,6,9,typical,f,
blue,green,2,10,42,9,9,typical,j,
blue,green,2,11,43,9,9,typical,j,
blue,blue,2,12,44,5,9,typical,f,
red,red,2,13,45,0,9,typical,d,
yellow,red,2,14,46,3,9,typical,d,
yellow,blue,2,15,47,7,9,typical,f,
blue,red,3,0,48,1,9,typical,d,
red,yellow,3,1,49,12,9,typical,k,
red,yellow,3,2,50,12,9,typical,k,
yellow,red,3,3,51,3,9,typical,d,
red,yellow,3,4,52,12,9,typical,k,
blue,blue,3,5,53,5,9,typical,f,
green,yellow,3,6,54,14,9,typical,k,
green,green,3,7,55,10,9,typical,j,
yellow,green,3,8,56,11,9,typical,j,
green,yellow,3,9,57,14,9,typical,k,
yellow,green,3,10,58,11,9,typical,j,
yellow,green,3,11,59,11,9,typical,j,
blue,red,3,12,60,1,9,typical,d,
yellow,yellow,3,13,61,15,9,typical,k,
green,red,3,14,62,2,9,typical,d,
red,blue,3,15,63,4,9,typical,f,
blue,yellow,4,0,64,13,9,typical,k,
yellow,yellow,4,1,65,15,9,typical,k,
green,green,4,2,66,10,9,typical,j,
blue,yellow,4,3,67,13,9,typical,k,
blue,blue,4,4,68,5,9,typical,f,
green,green,4,5,69,10,9,typical,j,
yellow,yellow,4,6,70,15,9,typical,k,
blue,blue,4,7,71,5,9,typical,f,
red,green,4,8,72,8,9,typical,j,
green,blue,4,9,73,6,9,typical,f,
red,green,4,10,74,8,9,typical,j,
green,blue,4,11,75,6,9,typical,f,
red,blue,4,12,76,4,9,typical,f,
yellow,blue,4,13,77,7,9,typical,f,
yellow,blue,4,14,78,7,9,typical,f,
blue,yellow,4,15,79,13,9,typical,k,
blue,blue,0,0,0,5,10,atypical,f,
red,yellow,0,1,1,12,10,atypical,d,
yellow,yellow,0,2,2,15,10,atypical,k,
green,green,0,3,3,10,10,atypical,j,
blue,red,0,4,4,1,10,atypical,f,
blue,green,0,5,5,9,10,atypical,f,
red,yellow,0,6,6,12,10,atypical,d,
red,blue,0,7,7,4,10,atypical,d,
yellow,green,0,8,8,11,10,atypical,k,
red,yellow,0,9,9,12,10,atypical,d,
green,green,0,10,10,10,10,atypical,j,
yellow,red,0,11,11,3,10,atypical,k,
red,blue,0,12,12,4,10,atypical,d,
blue,red,0,13,13,1,10,atypical,f,
yellow,blue,0,14,14,7,10,atypical,k,
blue,yellow,0,15,15,13,10,atypical,f,
blue,green,1,0,16,9,10,atypical,f,
green,green,1,1,17,10,10,atypical,j,
yellow,red,1,2,18,3,10,atypical,k,
red,green,1,3,19,8,10,atypical,d,
red,green,1,4,20,8,10,atypical,d,
yellow,green,1,5,21,11,10,atypical,k,
green,blue,1,6,22,6,10,atypical,j,
blue,green,1,7,23,9,10,atypical,f,
red,red,1,8,24,0,10,atypical,d,
red,green,1,9,25,8,10,atypical,d,
green,blue,1,10,26,6,10,atypical,j,
blue,yellow,1,11,27,13,10,atypical,f,
red,blue,1,12,28,4,10,atypical,d,
red,red,1,13,29,0,10,atypical,d,
green,blue,1,14,30,6,10,atypical,j,
yellow,red,1,15,31,3,10,atypical,k,
yellow,blue,2,0,32,7,10,atypical,k,
yellow,green,2,1,33,11,10,atypical,k,
yellow,yellow,2,2,34,15,10,atypical,k,
green,red,2,3,35,2,10,atypical,j,
green,yellow,2,4,36,14,10,atypical,j,
red,blue,2,5,37,4,10,atypical,d,
blue,yellow,2,6,38,13,10,atypical,f,
red,green,2,7,39,8,10,atypical,d,
green,yellow,2,8,40,14,10,atypical,j,
green,green,2,9,41,10,10,atypical,j,
blue,red,2,10,42,1,10,atypical,f,
red,red,2,11,43,0,10,atypical,d,
blue,blue,2,12,44,5,10,atypical,f,
blue,yellow,2,13,45,13,10,atypical,f,
green,red,2,14,46,2,10,atypical,j,
yellow,red,2,15,47,3,10,atypical,k,
yellow,blue,3,0,48,7,10,atypical,k,
green,yellow,3,1,49,14,10,atypical,j,
yellow,blue,3,2,50,7,10,atypical,k,
yellow,red,3,3,51,3,10,atypical,k,
yellow,green,3,4,52,11,10,atypical,k,
yellow,blue,3,5,53,7,10,atypical,k,
green,blue,3,6,54,6,10,atypical,j,
green,red,3,7,55,2,10,atypical,j,
red,red,3,8,56,0,10,atypical,d,
blue,green,3,9,57,9,10,atypical,f,
yellow,yellow,3,10,58,15,10,atypical,k,
blue,green,3,11,59,9,10,atypical,f,
red,yellow,3,12,60,12,10,atypical,d,
yellow,yellow,3,13,61,15,10,atypical,k,
blue,red,3,14,62,1,10,atypical,f,
green,red,3,15,63,2,10,atypical,j,
blue,red,4,0,64,1,10,atypical,f,
yellow,green,4,1,65,11,10,atypical,k,
red,red,4,2,66,0,10,atypical,d,
red,blue,4,3,67,4,10,atypical,d,
green,yellow,4,4,68,14,10,atypical,j,
blue,blue,4,5,69,5,10,atypical,f,
green,blue,4,6,70,6,10,atypical,j,
green,red,4,7,71,2,10,atypical,j,
blue,blue,4,8,72,5,10,atypical,f,
red,green,4,9,73,8,10,atypical,d,
yellow,yellow,4,10,74,15,10,atypical,k,
green,yellow,4,11,75,14,10,atypical,j,
green,green,4,12,76,10,10,atypical,j,
red,yellow,4,13,77,12,10,atypical,d,
blue,blue,4,14,78,5,10,atypical,f,
blue,yellow,4,15,79,13,10,atypical,f,
